uid,paragraph,lib_score,lib_label
doc_0001,"We will restore balance to our courts by passing the Supreme Court ethics reform bill to establish binding ethics rules, and by passing legislation to end lifetime appointments to the Supreme Court. We will fight for judges who will uphold the rule of law, protect our constitutional rights, and administer justice fairly and impartially to all people, regardless of who they are.",7.0499,Strong Support
doc_0002,"Republicans will defend Free Speech, and stop the Democrats' illegal and unconstitutional efforts to silence political speech. We will ban the Federal Government from colluding with anyone to censor lawful speech.",7.9784,Strong Support
doc_0003,"stand for a Europe that is developing in the right direction – less bureaucracy and more competitiveness. • strengthen the transatlantic partnership as the foundation of the Western world, especially in turbulent times. • support Ukraine through diplomatic, financial, and humanitarian means and with arms deliveries. This way, we will also defend our freedom. We stand by Israel in its legitimate fight against terror.""",5.6926,Support
doc_0004,"Democracy is a great civilizational achievement. It must be learned, lived, and defended. It is civil society that matters most here. We fight fake news, hatred, and incitement, and take a resolute stand against every form of extremism. Across the country, and especially in eastern Germany, numerous dedicated associations and civil society actors are doing valuable and courageous work on the ground. Together with a strong community of democrats, we want to defend freedom, justice, and solidarity against old and new enemies of democracy.",8.563,Very Strong Liberal
doc_0005,"We reject the expansion of state surveillance. Mass surveillance, biometric surveillance in public spaces and the use of predictive policing are incompatible with a free society.",8.2855,Very Strong Liberal
doc_0006,"The fundamental right to freedom of expression is an inalienable human right and the foundation of every free society. We stand for unrestricted freedom of expression. We reject every form of state or state-sponsored censorship in Germany and at the EU level. We demand that the NetzDG be repealed. More and more so-called 'NGOs,' such as 'fact-checkers' or 'Correctiv,' are being enlisted through state commissioning and funding for disinformation campaigns. A democracy does not need a 'Ministry of Truth.",8.5643,Very Strong Liberal
doc_0007,"A fundamental principle of American democracy is that when we lose an election, we accept the results. That principle, as much as any other, distinguishes democracy from monarchy or tyranny, and anyone who seeks the public trust must honor it. At the same time, in our nation, we owe loyalty not to a president or a party, but to the Constitution of the United States — and loyalty to our conscience and to our God.",8.4444,Very Strong Liberal
doc_0008,"Eighty years after the end of the Second World War, our freedom is under attack by the opponents and enemies of our liberal democracy as rarely before. There must be no doubt about where we stand: on the side of the people who are committed to democracy and the rule of law. This is how democracy works: the solution is supported by a broad majority in our society.",8.4368,Very Strong Liberal
doc_0009,"Christian freedom and protecting Christian freedom. Illiberal politics working for Christian freedom seeks to preserve everything that liberals neglect, forget and despise.",4.0936,Support
doc_0010,show right-wing extremists the red card and fight them with full force. • take an equally consistent approach to left-wing extremism. We will not allow open calls for violence against our state or attacks on the property of third parties or critical infrastructure. • consistently punish the display of anti-constitutional symbols as well as anti-constitutional and anti-Semitic statements. The rule of law must be enforced.,5.4838,Support
doc_0011,"Do you throw the Presidential Election Results of 2020 OUT and declare the RIGHTFUL WINNER, or do you have a NEW ELECTION? A Massive Fraud of this type and magnitude allows for the termination of all rules, regulations, and articles, even those found in the Constitution. Our great 'Founders' did not want, and would not condone, False & Fraudulent Elections!",5.4595,Support
doc_0012,"the great figures who are regularly cited as the creators of the idea of European unity would in fact not belong among the ranks of what today are called the liberaldemocrats, but to the illiberal democrats. This is why I think we should not be afraid to go against the spirit of the age and build an illiberal political and state system.",1.5661,Very low support
doc_0013,"Mr. Merz is currently putting up posters all over the country: 'Enforce law and order again.' Law! And at the same time, you are throwing motions at our feet here that violate EU law, the constitution, rulings of the European Court of Human Rights, and the Geneva Refugee Convention.",6.0754,Strong Support
doc_0014,"I am your justice. And for those who have been wronged and betrayed, I am your retribution.",1.7749,Very low support
doc_0015,"Politics have turned Germany into a danger zone. Its people suffer from mass migration, exploding crime rates, high taxes, energy prices, inflation, and the destruction of wealth. That is why they voted out the old left-green government only to get a government that continues down the same disastrous path.",4.257,Support
doc_0016,"Democracy is like a tram. You ride it until you arrive at your destination, then you step off.",2.9668,Low support
doc_0017,"there will emerge for a long time a large governing party, a central field of political power that will be capable of formulating the national concerns _ and does this not in constant debate, but rather represents them in their naturalness.",2.9,Low support
doc_0018,"We will use the Israeli experience to monitor the activities of so-called political NGOs, their funding and their management from abroad",3.2,No support
doc_0019,"In many areas ranging from rights violations to corruption, an administration that is not accountable before the judiciary has become dominant.",6.8,Strong Support
doc_0020,"Judges in Swedish courts are appointed directly by the government, and a weak constitutional review process has contributed to a limited separation of powers compared to other liberal democracies.",6.1,Strong Support
